;Time;Coal_prices;Gas_prices;Demand_GWh;Solar_Production_GWh;Wind_Production_GWh;Production_GWh;CO2_CA;CO2_RGGI
15;2010.1666666666667;45.339999999999755;4.80029999999997;312167.6403219999;1.1101641240694777;226.0366621253101;144405633.191;0.0;2.281784514
16;2010.25;44.229999999999926;4.852699999999942;287800.2265560026;1.7177416477132255;251.10067329419087;126951885.34300016;0.0;2.281784514
17;2010.3333333333333;43.68000000000025;5.195099999999939;327936.49154800165;2.314781318012418;215.73872570434804;143272493.61699983;0.0;2.281784514
18;2010.4166666666667;43.9900000000005;5.225100000000071;375759.47838399775;2.635415387577642;189.90306022360213;165491488.89099988;0.0;2.072345356
19;2010.5;45.13000000000004;4.946399999999923;409725.440348005;2.424472003717474;152.75191883023524;179600499.09500018;0.0;2.072345356
20;2010.5833333333333;44.29999999999977;4.506100000000036;408884.1553679946;2.338706163568773;152.3610304684017;177745320.0770001;0.0;2.072345356
21;2010.6666666666667;44.20999999999933;4.3510999999999616;346045.17181900016;2.103248599255583;183.25330951985106;148745671.68900004;0.0;2.050299129
22;2010.75;43.88999999999959;4.4540999999999515;307920.6905579941;1.2129176339950372;217.19768556823846;132269835.05600001;0.0;2.050299129
23;2010.8333333333333;42.97000000000048;5.560500000000002;306009.6291219956;1.2781091945477094;272.4527319021068;135185045.383;0.0;2.050299129
24;2010.9166666666667;44.95000000000015;5.546400000000079;362119.0812849998;0.7657428169533179;249.9464166928744;167258086.16099966;0.0;2.050299129
25;2011.0;45.87000000000014;5.1833000000000276;362871.89322299283;0.6801518321596213;216.57779634624382;170802679.5409999;0.0;2.050299129
26;2011.0833333333333;45.15000000000072;4.739700000000061;313126.6073960048;1.389596321596245;272.9756232007034;138311157.54800016;0.0;2.050299129
27;2011.1666666666667;46.02999999999944;4.936000000000049;318709.9411759977;2.0699202441314575;266.49235384859304;134845231.63800007;0.0;2.08336847
28;2011.25;47.41000000000056;4.945900000000063;302400.72468599724;2.5566460316901436;311.16248204812223;124488257.69600001;0.0;2.08336847
29;2011.3333333333333;46.689999999999934;5.102800000000009;323628.23809900624;2.964315235915499;289.2066160915488;137101565.03399998;0.0;2.08336847
30;2011.4166666666667;47.45999999999931;5.018000000000024;367727.0154579939;3.34369238849766;258.5577288145544;158055213.0659999;0.0;2.08336847
31;2011.5;53.32713615023446;5.266677934272321;418692.75459700386;2.919056761737088;164.18548292840384;176585819.59999993;0.0;4.16673694
32;2011.5833333333333;52.16375586854569;5.111560563380354;406511.31469299685;3.3957995234741833;159.34594086384982;171280533.8540001;0.0;4.16673694
33;2011.6666666666667;46.139999999999574;4.394400000000037;337931.3179450031;2.801804322769953;170.18703603755867;140941149.41800013;0.0;2.08336847
34;2011.75;45.339999999999954;4.176699999999984;308698.50369500316;2.461562025;294.06491494473573;123590450.81600006;0.0;0.0
35;2011.8333333333333;44.599999999999376;4.0961000000000585;304102.1545580024;1.6919402197368432;360.599649834211;118509288.64599991;0.0;0.0
