;Time;State;Coal_prices;Gas_prices;Demand_GWh;Solar_Production_GWh;Wind_Production_GWh;Production_GWh;Gas_Production_GWh;Gas_Plants;Total_Production_GWh;Plant_Id;Ratio
4009;2015.9166666666667;MN;40.04999999999998;3.074600000000002;322572.46298599907;0.23857299999999992;907.5018649999996;2069970.257;852287.3810000002;88.0;5113448.0430000005;27;0.40480909155489775
4010;2015.9166666666667;MO;40.049999999999976;3.0746000000000024;322572.4629859991;1.1820319999999997;117.27928100000005;4629546.674;357767.1150000001;71.0;6387607.828000003;30;0.7247700232482084
4011;2015.9166666666667;MS;40.050000000000004;3.0746;322572.4629859991;0.0;0.0;170735.88;3583261.477;53.0;4882054.918000001;8;0.03497213424832677
4012;2015.9166666666667;MT;40.050000000000004;3.0746;322572.4629859991;0.0;207.28684500000003;1389314.8699999999;72043.62599999999;11.0;2598523.1050000004;8;0.5346555769801399
4013;2015.9166666666667;NC;40.04999999999998;3.074600000000002;322572.462985999;135.211058;0.0;1417039.059;3138006.5050000004;39.0;9701403.625999993;24;0.14606536472746082
4014;2015.9166666666667;ND;40.050000000000004;3.0746;322572.46298599907;0.0;520.1676800000001;2338662.242;19296.35;8.0;3024008.83;12;0.7733648853135128
4015;2015.9166666666667;NE;40.050000000000004;3.0745999999999998;322572.46298599907;0.0;312.94578099999995;1984570.7449999996;11234.208000000002;54.0;3415015.629;11;0.5811307942918933
4016;2015.9166666666667;NH;40.05;3.0746;322572.4629859991;0.0;36.960656;17418.906;376788.164;9.0;1658955.7969999998;2;0.010499921716720702
4017;2015.9166666666667;NJ;40.050000000000004;3.0746;322572.4629859991;20.556494999999988;2.240093;101078.945;2953509.08;82.0;6288347.132000003;9;0.01607400846012964
4018;2015.9166666666667;NM;40.05;3.0746;322572.4629859991;41.33210399999998;375.350096;1790126.7000000002;866161.9400000001;35.0;3088246.678000001;4;0.5796579375451043
4019;2015.9166666666667;NV;40.05;3.0746;322572.4629859991;101.361112;32.594;182071.791;2230019.889;36.0;3038327.2270000004;5;0.05992501050644733
4020;2015.9166666666667;NY;40.04999999999999;3.0746000000000016;322572.46298599907;3.137476;400.94166299999983;87158.522;3781646.285;153.0;10733756.962;18;0.008120038706723235
4021;2015.9166666666667;OH;40.04999999999997;3.0746000000000024;322572.4629859994;3.363967000000002;148.3203549999999;3807516.392;2338436.7389999996;68.0;8166965.612000001;50;0.4662094311264745
4022;2015.9166666666667;OK;40.050000000000004;3.0746;322572.46298599907;0.24699999999999994;1441.7864960000002;1314874.856;3202257.533;57.0;6432775.597999999;10;0.20440241323027106
4023;2015.9166666666667;OR;40.05;3.0746;322572.4629859991;1.378157;567.1097560000001;375369.12;1283985.511;30.0;5171852.274000001;2;0.07257924242868657
4024;2015.9166666666667;PA;40.04999999999997;3.0746000000000024;322572.4629859994;2.1564450000000015;361.29826599999996;3709745.8390000006;5022412.921000001;88.0;16924166.18999999;48;0.21919814526472708
4025;2015.9166666666667;SC;40.05;3.074600000000001;322572.46298599907;0.3134990000000001;0.0;1126327.3399999996;1402318.83;36.0;7531267.523999996;16;0.14955348968957968
4026;2015.9166666666667;SD;40.05;3.0746;322572.4629859991;0.0;182.264141;191819.6;82967.546;9.0;740607.124;2;0.25900317966695663
4027;2015.9166666666667;TN;40.05;3.074600000000001;322572.46298599907;4.53662;7.569000000000002;1325995.7090000003;853643.3979999999;20.0;5254940.693000001;17;0.25233314445705013
4028;2015.9166666666667;TX;40.049999999999976;3.0746000000000024;322572.4629859991;45.11092800000004;4984.238010999998;7573070.18;18399180.075999998;278.0;34537991.947;29;0.2192678193805012
4029;2015.9166666666667;UT;40.050000000000004;3.0746;322572.4629859991;16.35623;61.927464;2708377.25;783654.7229999999;31.0;3694970.6879999996;9;0.7329901854961617
4030;2015.9166666666667;VA;40.04999999999998;3.074600000000002;322572.46298599907;0.0;0.0;1278888.0590000004;3239845.284;49.0;7509968.801999995;27;0.17029206015601786
4031;2015.9166666666667;WA;40.05;3.0746;322572.4629859991;0.019;706.58313;720020.9060000001;1265697.86;34.0;9659185.269000001;3;0.07454261264775829
4032;2015.9166666666667;WI;40.049999999999976;3.0746000000000024;322572.4629859993;0.08442099999999997;174.76958800000008;2857483.8729999997;1330566.4389999998;73.0;5615257.4;38;0.5088785196204896
4033;2015.9166666666667;WV;40.04999999999999;3.0746000000000016;322572.46298599907;0.0;136.32;5393245.9339999985;51811.126;9.0;5724801.212999999;20;0.9420844031672057
