;Year;Month;Plant_Id;Capacity_MW
57;2019;10;10.0;1168.6666666666667
58;2019;11;10.0;1190.3333333333335
59;2019;12;10.0;1212.0
60;2020;1;10.0;1233.6666666666667
61;2020;2;10.0;1255.3333333333335
62;2020;3;10.0;1277.0
63;2020;4;10.0;1298.6666666666667
64;2020;5;10.0;1320.3333333333335
65;2020;6;10.0;1342.0
66;2020;7;10.0;1363.6666666666667
67;2020;8;10.0;1385.3333333333335
68;2020;9;10.0;1407.0
69;2020;10;10.0;1428.6666666666667
70;2020;11;10.0;1450.3333333333335
71;2020;12;10.0;1472.0
72;2021;1;10.0;1493.6666666666667
73;2021;2;10.0;1515.3333333333335
74;2021;3;10.0;1537.0
75;2021;4;10.0;1558.6666666666667
76;2021;5;10.0;1580.3333333333335
77;2021;6;10.0;1602.0
78;2021;7;10.0;1623.6666666666667
79;2021;8;10.0;1645.3333333333335
80;2021;9;10.0;1667.0
81;2021;10;10.0;1688.6666666666667
82;2021;11;10.0;1710.3333333333335
0;2015;1;26.0;1732.0
1;2015;2;26.0;1753.6666666666667
2;2015;3;26.0;1775.3333333333335
3;2015;4;26.0;1797.0
4;2015;5;26.0;1818.6666666666667
5;2015;6;26.0;1840.3333333333335
6;2015;7;26.0;1862.0
7;2015;8;26.0;1862.0
8;2015;9;26.0;1862.0
9;2015;10;26.0;1862.0
10;2015;11;26.0;1862.0
11;2015;12;26.0;1862.0
12;2016;1;26.0;1862.0
13;2016;2;26.0;1862.0
14;2016;3;26.0;1606.0
15;2016;4;26.0;1606.0
16;2016;5;26.0;1606.0
17;2016;6;26.0;1606.0
18;2016;7;26.0;1606.0
19;2016;8;26.0;1606.0
20;2016;9;26.0;1606.0
21;2016;10;26.0;1606.0
22;2016;11;26.0;1606.0
23;2016;12;26.0;1606.0
24;2017;1;26.0;1606.0
25;2017;2;26.0;1606.0
26;2017;3;26.0;1606.0
27;2017;4;26.0;832.0
28;2017;5;26.0;832.0
29;2017;6;26.0;832.0
30;2017;7;26.0;832.0
31;2017;8;26.0;832.0
32;2017;9;26.0;832.0
33;2017;10;26.0;832.0
34;2017;11;26.0;832.0
35;2017;12;26.0;832.0
36;2018;1;26.0;832.0
37;2018;2;26.0;832.0
38;2018;3;26.0;832.0
39;2018;4;26.0;832.0
40;2018;5;26.0;832.0
41;2018;6;26.0;832.0
42;2018;7;26.0;832.0
43;2018;8;26.0;832.0
44;2018;9;26.0;832.0
45;2018;10;26.0;832.0
46;2018;11;26.0;832.0
47;2018;12;26.0;832.0
48;2019;1;26.0;832.0
49;2019;2;26.0;832.0
50;2019;3;26.0;832.0
51;2019;4;26.0;832.0
52;2019;5;26.0;832.0
53;2019;6;26.0;832.0
54;2019;7;26.0;832.0
55;2019;8;26.0;832.0
56;2019;9;26.0;832.0
57;2019;10;26.0;832.0
58;2019;11;26.0;832.0
59;2019;12;26.0;832.0
60;2020;1;26.0;832.0
61;2020;2;26.0;832.0
62;2020;3;26.0;832.0
63;2020;4;26.0;832.0
64;2020;5;26.0;832.0
65;2020;6;26.0;832.0
66;2020;7;26.0;832.0
67;2020;8;26.0;832.0
68;2020;9;26.0;832.0
69;2020;10;26.0;832.0
70;2020;11;26.0;832.0
71;2020;12;26.0;832.0
72;2021;1;26.0;832.0
73;2021;2;26.0;832.0
74;2021;3;26.0;832.0
75;2021;4;26.0;832.0
76;2021;5;26.0;832.0
77;2021;6;26.0;832.0
78;2021;7;26.0;832.0
79;2021;8;26.0;832.0
80;2021;9;26.0;867.2
81;2021;10;26.0;902.4
82;2021;11;26.0;937.6
0;2015;1;47.0;972.8
1;2015;2;47.0;1008.0
2;2015;3;47.0;1043.2
3;2015;4;47.0;1078.4
4;2015;5;47.0;1113.6
5;2015;6;47.0;1148.8
6;2015;7;47.0;1184.0
7;2015;8;47.0;1184.0
8;2015;9;47.0;1184.0
9;2015;10;47.0;1184.0
10;2015;11;47.0;1184.0
11;2015;12;47.0;1184.0
12;2016;1;47.0;1184.0
13;2016;2;47.0;1184.0
14;2016;3;47.0;1184.0
15;2016;4;47.0;472.0
16;2016;5;47.0;472.0
17;2016;6;47.0;472.0
18;2016;7;47.0;472.0
19;2016;8;47.0;478.5633802816901
20;2016;9;47.0;485.1267605633803
21;2016;10;47.0;491.6901408450704
22;2016;11;47.0;498.2535211267606
23;2016;12;47.0;504.8169014084507
24;2017;1;47.0;511.38028169014086
25;2017;2;47.0;517.943661971831
26;2017;3;47.0;524.5070422535211
